model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config,pdl_trigger
deepseek_v4_pro,7168,16384,1,8,4,tile_stage,PDL,35.3894,35.2896,3319.387,0.829847,1830,1.682975e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
deepseek_v4_pro,7168,16384,1,8,4,tile_stage,PDL,35.5782,35.5110,3301.772,0.825443,1830,1.682975e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
deepseek_v4_pro,7168,16384,2,8,4,tile_stage,PDL,35.6070,35.6000,3299.964,0.824991,1830,1.681628e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
deepseek_v4_pro,7168,16384,2,8,4,tile_stage,PDL,35.5885,35.5674,3301.685,0.825421,1830,1.681628e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
deepseek_v4_pro,7168,16384,2,8,4,tile_stage,PDL,36.0262,35.9667,3261.566,0.815391,1830,1.681628e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
deepseek_v4_pro,7168,16384,4,8,4,tile_stage,PDL,35.6877,35.6224,3294.229,0.823557,1830,1.670621e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
deepseek_v4_pro,7168,16384,4,8,4,tile_stage,PDL,35.6659,35.4848,3296.239,0.824060,1830,1.670621e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
deepseek_v4_pro,7168,16384,4,8,4,tile_stage,PDL,36.1888,36.1318,3248.613,0.812153,1830,1.670621e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
deepseek_v4_pro,7168,16384,8,8,4,tile_stage,PDL,36.0595,35.9040,3263.667,0.815917,1830,1.670905e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
deepseek_v4_pro,7168,16384,8,8,4,tile_stage,PDL,36.0352,35.9462,3265.870,0.816467,1830,1.670905e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
