model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config
deepseek_v4_pro,7168,16384,2,8,2,blockk,ISO,52.7360,51.9680,2228.117,0.557029,1830,1.681628e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,2,8,2,blockk,PDL,37.4208,37.4093,3140.017,0.785004,1830,1.681628e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,4,8,2,blockk,B2B,42.3392,42.3078,2776.703,0.694176,1830,1.670615e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,4,8,2,blockk,ISO,52.7680,52.5120,2227.930,0.556982,1830,1.670615e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,4,8,2,blockk,PDL,37.5859,37.5578,3127.857,0.781964,1830,1.670615e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,8,8,2,blockk,B2B,42.6541,42.6182,2759.086,0.689771,1830,1.670902e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,8,8,2,blockk,ISO,53.1200,52.9920,2215.480,0.553870,1830,1.670902e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,8,8,2,blockk,PDL,38.2054,38.1754,3080.354,0.770088,1830,1.670902e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,16,16,2,blockk,B2B,56.1050,56.0806,2101.989,0.525497,1830,1.669845e-03,1,M_TILE=16;BM=56;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,16,16,2,blockk,ISO,67.7760,67.5520,1740.026,0.435007,1830,1.669845e-03,1,M_TILE=16;BM=56;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,16,16,2,blockk,PDL,54.0941,54.0710,2180.128,0.545032,1830,1.669845e-03,1,M_TILE=16;BM=56;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,32,32,2,blockk,B2B,87.9309,87.9264,1346.780,0.336695,1830,1.670198e-03,1,M_TILE=32;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,32,32,2,blockk,ISO,92.8640,92.3520,1275.236,0.318809,1830,1.670198e-03,1,M_TILE=32;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,32,32,2,blockk,PDL,85.4362,85.4067,1386.106,0.346526,1830,1.670198e-03,1,M_TILE=32;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,64,64,2,blockk,B2B,199.9686,199.9565,597.127,0.149282,1830,1.670279e-03,1,M_TILE=64;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,64,64,2,blockk,ISO,205.8560,204.8960,580.049,0.145012,1830,1.670279e-03,1,M_TILE=64;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,64,64,2,blockk,PDL,188.2694,187.9936,634.232,0.158558,1830,1.670279e-03,1,M_TILE=64;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,128,128,2,blockk,B2B,348.6599,348.6394,348.112,0.087028,1830,1.668760e-03,1,M_TILE=128;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,128,128,2,blockk,ISO,354.8800,352.8960,342.010,0.085503,1830,1.668760e-03,1,M_TILE=128;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,128,128,2,blockk,PDL,341.7735,341.2333,355.126,0.088782,1830,1.668760e-03,1,M_TILE=128;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,1,8,3,prepack,B2B,40.3763,40.3181,2909.409,0.727352,1830,1.682975e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
