model,N,K,M,dtype,protocol,latency_us_p50,bandwidth_gbps,pct_of_spec_peak,algo_desc,clocks_sm_mhz
glm52,6144,16384,4,fp8,B2B,36.3467,2772.689,0.693172,algo_id=66;tile=320x8(514);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=294928B;waves=0.26;heur=8;rank=8;searched=8;fast_accum=0,1830
glm52,6144,16384,4,fp8,ISO,50.4000,1999.563,0.499891,algo_id=66;tile=320x8(514);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=294928B;waves=0.26;heur=8;rank=8;searched=8;fast_accum=0,1830
glm52,6144,16384,4,bf16,B2B,62.6695,3216.173,0.804043,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=393236B;waves=1.23;heur=8;rank=1;searched=8;fast_accum=0,1830
glm52,6144,16384,4,bf16,ISO,79.1680,2545.927,0.636482,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=393236B;waves=1.23;heur=8;rank=1;searched=8;fast_accum=0,1830
glm52,6144,16384,8,fp8,B2B,36.5756,2758.466,0.689617,algo_id=66;tile=320x8(514);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=589840B;waves=0.26;heur=8;rank=8;searched=8;fast_accum=0,1830
glm52,6144,16384,8,fp8,ISO,50.6880,1990.465,0.497616,algo_id=66;tile=320x8(514);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=589840B;waves=0.26;heur=8;rank=8;searched=8;fast_accum=0,1830
glm52,6144,16384,8,bf16,B2B,63.6882,3168.333,0.792083,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=786452B;waves=1.23;heur=8;rank=2;searched=8;fast_accum=0,1830
glm52,6144,16384,8,bf16,ISO,79.5200,2537.542,0.634385,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=786452B;waves=1.23;heur=8;rank=2;searched=8;fast_accum=0,1830
glm52,6144,16384,16,fp8,B2B,37.8108,2674.419,0.668605,algo_id=66;tile=320x16(515);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=1179664B;waves=0.26;heur=8;rank=8;searched=8;fast_accum=0,1830
glm52,6144,16384,16,fp8,ISO,51.6800,1956.696,0.489174,algo_id=66;tile=320x16(515);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=1179664B;waves=0.26;heur=8;rank=8;searched=8;fast_accum=0,1830
